system,condition,target,n_human,n_generated,auroc
two_member,artifactbench__without_Suno,artifactbench,860,1404,0.9731887298747764
two_member,artifactbench__count_control_Suno,artifactbench,860,1404,0.9752116047174186
two_member,artifactbench__without_Udio,artifactbench,860,1404,0.8737013847478965
two_member,artifactbench__count_control_Udio,artifactbench,860,1404,0.9737957993771947
two_member,artifactbench__without_MusicGen,artifactbench,860,1404,0.9809725535016233
two_member,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9825212847015172
two_member,echoes__without_Suno,echoes,59,742,0.921787199049751
two_member,echoes__count_control_Suno,echoes,59,742,0.9374114852208872
two_member,echoes__without_Udio,echoes,59,742,0.9228493763991047
two_member,echoes__count_control_Udio,echoes,59,742,0.9437959705788297
two_member,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9707577954443831
two_member,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.9723737637760068
two_member,artifactbench__without_StableAudio,artifactbench,860,1404,0.9728773272377924
two_member,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9804520307427285
two_member,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.9816235175246804
two_member,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9794627476313523
two_member,echoes__without_StableAudio,echoes,59,742,0.9401297455342867
two_member,echoes__count_control_StableAudio,echoes,59,742,0.9469939238887113
two_member,echoes__without_AudioLDM,echoes,59,742,0.9337338389145234
two_member,echoes__count_control_AudioLDM,echoes,59,742,0.9377998081228014
two_member,echoes__without_DiffRhythm,echoes,59,742,0.9420827813056787
two_member,echoes__count_control_DiffRhythm,echoes,59,742,0.9421741514002467
two_member,fakemusiccaps__without_StableAudio,fakemusiccaps,1102,5520,0.9711437044635576
two_member,fakemusiccaps__count_control_StableAudio,fakemusiccaps,1102,5520,0.9723546943633445
two_member,fakemusiccaps__without_AudioLDM,fakemusiccaps,1102,5520,0.9675302151555801
two_member,fakemusiccaps__count_control_AudioLDM,fakemusiccaps,1102,5520,0.9747868664352035
two_member,artifactbench__fmc_fit_only,artifactbench,860,1404,0.842736699132048
learned_fusion,artifactbench__base,artifactbench,860,1404,0.98818988935268
learned_fusion,echoes__base,echoes,59,742,0.9783681301110148
learned_fusion,fakemusiccaps__base,fakemusiccaps,1102,5520,0.9945410518424999
learned_fusion,artifactbench__without_Suno,artifactbench,860,1404,0.9790391240972637
learned_fusion,artifactbench__count_control_Suno,artifactbench,860,1404,0.9851537136420858
learned_fusion,artifactbench__without_Udio,artifactbench,860,1404,0.9194204266878685
learned_fusion,artifactbench__count_control_Udio,artifactbench,860,1404,0.9830956403630822
learned_fusion,artifactbench__without_MusicGen,artifactbench,860,1404,0.99114241701451
learned_fusion,artifactbench__count_control_MusicGen,artifactbench,860,1404,0.9896417213277678
learned_fusion,echoes__without_Suno,echoes,59,742,0.95799259902234
learned_fusion,echoes__count_control_Suno,echoes,59,742,0.9673808762392068
learned_fusion,echoes__without_Udio,echoes,59,742,0.938850564210334
learned_fusion,echoes__count_control_Udio,echoes,59,742,0.9629722691762985
learned_fusion,fakemusiccaps__without_MusicGen,fakemusiccaps,1102,5520,0.9897985217917356
learned_fusion,fakemusiccaps__count_control_MusicGen,fakemusiccaps,1102,5520,0.9948596425471475
learned_fusion,artifactbench__without_StableAudio,artifactbench,860,1404,0.9826012058570197
learned_fusion,artifactbench__count_control_StableAudio,artifactbench,860,1404,0.9892085735108991
learned_fusion,artifactbench__without_DiffRhythm,artifactbench,860,1404,0.987807261644471
learned_fusion,artifactbench__count_control_DiffRhythm,artifactbench,860,1404,0.9880358444311932
learned_fusion,echoes__without_StableAudio,echoes,59,742,0.9700077664580383
learned_fusion,echoes__count_control_StableAudio,echoes,59,742,0.9791904609621271
learned_fusion,echoes__without_AudioLDM,echoes,59,742,0.9702818767417424
learned_fusion,echoes__count_control_AudioLDM,echoes,59,742,0.9791904609621273
learned_fusion,echoes__without_DiffRhythm,echoes,59,742,0.9706930421672987
