system,trainer,target,n_human,n_generated,auroc,in_summary
specttra_released,sonics,echoes,59,742,0.6147151537301841,True
specttra_released,sonics,fakemusiccaps,1102,5520,0.5564305018543361,True
specttra_released,sonics,music8k,1102,3614,0.6392803947544184,False
handcrafted,artifactbench,echoes,59,742,0.797523870437206,True
handcrafted,artifactbench,fakemusiccaps,1102,5520,0.7331319537599621,True
handcrafted,artifactbench,sonics,6882,12778,0.9205291748309233,False
handcrafted,artifactbench,music8k,1102,3614,0.6340200490731245,False
handcrafted,echoes,artifactbench,864,1405,0.8574617767233426,True
handcrafted,echoes,fakemusiccaps,1102,5520,0.7208902127883428,True
handcrafted,echoes,sonics,6882,12778,0.8859378011347878,False
handcrafted,echoes,music8k,1102,3614,0.6347693030832907,False
handcrafted,fakemusiccaps,artifactbench,864,1405,0.8583984117569525,True
handcrafted,fakemusiccaps,echoes,59,742,0.7907396409155284,True
handcrafted,fakemusiccaps,sonics,6882,12778,0.8788558273358258,False
handcrafted,fakemusiccaps,music8k,1102,3614,0.697377962491099,False
handcrafted,sonics,artifactbench,672,1259,0.6929606830818109,True
handcrafted,sonics,echoes,59,742,0.6330805427383617,True
handcrafted,sonics,fakemusiccaps,1102,5520,0.5734892422209947,True
handcrafted,sonics,music8k,1102,3614,0.4454360286725248,False
