system,condition,target,level,family,generator,n_human,n_generated,auroc
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Suno,Google Chirp v3.5,860,80,0.9994912790697674
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Suno,Suno (mixed),860,80,0.8205232558139535
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Suno,Suno v3,860,30,0.9972480620155039
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Suno,Suno v3.5,860,29,0.9954691259021652
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Suno,Suno v4,860,100,0.7953023255813954
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Udio,Udio,860,100,0.8892093023255814
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Udio,Udio (AIME),860,30,0.8741860465116279
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Udio,Udio (SONICS 120s),860,80,0.9892732558139534
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Udio,Udio (SONICS 30s),860,80,0.9434447674418605
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Udio,Udio (mixed),860,80,0.6917005813953488
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Udio,Udio CDN,860,18,0.6982558139534883
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Udio,Udio CDN Latest,860,17,0.8103967168262655
trajectory,artifactbench__count_control_MusicGen,artifactbench,generator,Yue,Yue,860,100,0.9845116279069768
trajectory,echoes__without_Suno,echoes,family,AceStep,AceStep,59,57,0.9934582218257508
trajectory,echoes__without_Suno,echoes,family,AudioLDM,AudioLDM,59,115,0.999852616064849
trajectory,echoes__without_Suno,echoes,family,Brev,Brev,59,68,0.7781655034895314
trajectory,echoes__without_Suno,echoes,family,DiffRhythm,DiffRhythm,59,120,0.996045197740113
trajectory,echoes__without_Suno,echoes,family,Mubert,Mubert,59,32,0.5444915254237288
trajectory,echoes__without_Suno,echoes,family,Producer,Producer,59,68,0.963110667996012
trajectory,echoes__without_Suno,echoes,family,SongGen,SongGen,59,111,0.9998473049320508
trajectory,echoes__without_Suno,echoes,family,StableAudio,StableAudio,59,35,0.924455205811138
trajectory,echoes__without_Suno,echoes,family,Suno,Suno,59,68,0.7153539381854437
trajectory,echoes__without_Suno,echoes,family,Udio,Udio,59,68,0.7026420737786641
trajectory,echoes__without_Suno,echoes,generator,AceStep,acestep,59,57,0.9934582218257508
trajectory,echoes__without_Suno,echoes,generator,AudioLDM,audioldm,59,115,0.999852616064849
trajectory,echoes__without_Suno,echoes,generator,Brev,brev,59,68,0.7781655034895314
trajectory,echoes__without_Suno,echoes,generator,DiffRhythm,diffrhythm,59,120,0.996045197740113
trajectory,echoes__without_Suno,echoes,generator,Mubert,mubert,59,32,0.5444915254237288
trajectory,echoes__without_Suno,echoes,generator,Producer,producer,59,68,0.963110667996012
trajectory,echoes__without_Suno,echoes,generator,SongGen,songgen,59,111,0.9998473049320508
trajectory,echoes__without_Suno,echoes,generator,StableAudio,stableaudio,59,35,0.924455205811138
trajectory,echoes__without_Suno,echoes,generator,Suno,suno,59,68,0.7153539381854437
trajectory,echoes__without_Suno,echoes,generator,Udio,udio,59,68,0.7026420737786641
trajectory,echoes__count_control_Suno,echoes,family,AceStep,AceStep,59,57,0.9988105857865002
trajectory,echoes__count_control_Suno,echoes,family,AudioLDM,AudioLDM,59,115,1.0
trajectory,echoes__count_control_Suno,echoes,family,Brev,Brev,59,68,0.8232801595214356
trajectory,echoes__count_control_Suno,echoes,family,DiffRhythm,DiffRhythm,59,120,0.9980225988700565
trajectory,echoes__count_control_Suno,echoes,family,Mubert,Mubert,59,32,0.573093220338983
trajectory,echoes__count_control_Suno,echoes,family,Producer,Producer,59,68,0.9823030907278165
trajectory,echoes__count_control_Suno,echoes,family,SongGen,SongGen,59,111,1.0
trajectory,echoes__count_control_Suno,echoes,family,StableAudio,StableAudio,59,35,0.9472154963680387
trajectory,echoes__count_control_Suno,echoes,family,Suno,Suno,59,68,0.7754237288135593
trajectory,echoes__count_control_Suno,echoes,family,Udio,Udio,59,68,0.6911764705882353
trajectory,echoes__count_control_Suno,echoes,generator,AceStep,acestep,59,57,0.9988105857865002
trajectory,echoes__count_control_Suno,echoes,generator,AudioLDM,audioldm,59,115,1.0
