system,trainer,target,subset,n_generated,n_human,auroc
single_support,fakemusiccaps,artifactbench,all,1405,864,0.8000972057466718
single_support,fakemusiccaps,artifactbench,seen_brand_seen_class,190,864,0.984375
single_support,fakemusiccaps,artifactbench,unseen_brand_seen_class,100,864,0.9898148148148148
single_support,fakemusiccaps,artifactbench,seen_brand_unseen_class,0,864,
single_support,fakemusiccaps,artifactbench,strict_unseen,1115,864,0.7516805763162266
single_support,fakemusiccaps,artifactbench,strict_unseen_disclosed,230,864,0.9179448470209339
single_support,fakemusiccaps,echoes,all,742,59,0.8183105669514369
single_support,fakemusiccaps,echoes,seen_brand_seen_class,150,59,0.8803389830508475
single_support,fakemusiccaps,echoes,unseen_brand_seen_class,177,59,0.988892080819688
single_support,fakemusiccaps,echoes,seen_brand_unseen_class,0,59,
single_support,fakemusiccaps,echoes,strict_unseen,415,59,0.7231366142536247
single_support,fakemusiccaps,echoes,strict_unseen_disclosed,143,59,0.7667417328434277
single_support,fakemusiccaps,sonics,all,12778,6882,0.7487174799446648
single_support,fakemusiccaps,sonics,seen_brand_seen_class,0,6882,
single_support,fakemusiccaps,sonics,unseen_brand_seen_class,0,6882,
single_support,fakemusiccaps,sonics,seen_brand_unseen_class,0,6882,
single_support,fakemusiccaps,sonics,strict_unseen,12778,6882,0.7487174799446648
single_support,fakemusiccaps,sonics,strict_unseen_disclosed,0,6882,
single_support,fakemusiccaps,music8k,all,3614,1102,0.8460072093100334
single_support,fakemusiccaps,music8k,seen_brand_seen_class,0,1102,
single_support,fakemusiccaps,music8k,unseen_brand_seen_class,1651,1102,0.7834365357408644
single_support,fakemusiccaps,music8k,seen_brand_unseen_class,0,1102,
single_support,fakemusiccaps,music8k,strict_unseen,1963,1102,0.8986328751595996
single_support,fakemusiccaps,music8k,strict_unseen_disclosed,1293,1102,0.896981232182785
single_support,sonics,artifactbench,all,1259,672,0.9008874200990961
single_support,sonics,artifactbench,seen_brand_seen_class,659,672,0.9530132234988078
single_support,sonics,artifactbench,unseen_brand_seen_class,80,672,0.9917596726190476
single_support,sonics,artifactbench,seen_brand_unseen_class,0,672,
single_support,sonics,artifactbench,strict_unseen,520,672,0.820847641941392
single_support,sonics,artifactbench,strict_unseen_disclosed,520,672,0.820847641941392
