system,trainer,target,carried_fpr,carried_tpr,paired_carried_fpr,paired_carried_tpr,recalibrated_fpr,recalibrated_tpr,n_human_test
comoe_xcodec,sonics,artifactbench,0.0672,0.3299999999999999,0.06170212765957447,0.3298887122416534,0.05319148936170213,0.30842607313195547,470.0
comoe_xcodec,sonics,echoes,0.0508,0.39219999999999994,,,,,
comoe_xcodec,sonics,fakemusiccaps,0.1706,0.505,0.17516629711751663,0.505072463768116,0.05543237250554324,0.33242753623188404,902.0
comoe_xcodec,sonics,music8k,0.1697,0.09249999999999994,,,,,
clam,artifactbench,echoes,0.1695,0.6213,,,,,
clam,artifactbench,fakemusiccaps,0.3675,0.6660999999999999,0.36585365853658536,0.6661231884057971,0.07095343680709534,0.1983695652173913,902.0
clam,artifactbench,sonics,0.1056,0.8128000000000001,,,,,
clam,artifactbench,music8k,0.2205,0.3859,,,,,
clam,echoes,artifactbench,0.1079,0.30910000000000004,0.11329305135951662,0.3091168091168091,0.04682779456193353,0.18447293447293447,662.0
clam,echoes,fakemusiccaps,0.2214,0.32400000000000007,0.21618625277161863,0.32409420289855073,0.045454545454545456,0.058876811594202896,902.0
clam,echoes,sonics,0.2112,0.37200000000000005,,,,,
clam,echoes,music8k,0.0808,0.13619999999999988,,,,,
clam,fakemusiccaps,artifactbench,0.0046,0.0961999999999999,0.006042296072507553,0.09615384615384616,0.04984894259818731,0.5163817663817664,662.0
clam,fakemusiccaps,echoes,0.0,0.24940000000000007,,,,,
clam,fakemusiccaps,sonics,0.0112,0.15600000000000003,,,,,
clam,fakemusiccaps,music8k,0.0281,0.016900000000000012,,,,,
clam,sonics,artifactbench,0.0179,0.32430000000000003,0.02127659574468085,0.32432432432432434,0.08936170212765958,0.5079491255961844,470.0
clam,sonics,echoes,0.0678,0.3356,,,,,
clam,sonics,fakemusiccaps,0.1261,0.40869999999999995,0.12749445676274945,0.40869565217391307,0.050997782705099776,0.27608695652173915,902.0
clam,sonics,music8k,0.1733,0.24649999999999994,,,,,
specttra,artifactbench,echoes,0.1186,0.5187999999999999,,,,,
specttra,artifactbench,fakemusiccaps,0.343,0.6119999999999999,0.34478935698447893,0.6119565217391304,0.025498891352549888,0.09094202898550724,902.0
